province,year,season,cultivated_area,rice_yield,rice_production,yield_class,expected_yield,residual
Tien Giang,2012,summer_autumn,160.8,50.2,807.7,Medium,50.45562476826103,-0.2556247682610291
Tien Giang,2013,winter_spring,79.3,69.0,547.5,High,66.43621802002212,2.5637819799778754
Tien Giang,2013,summer_autumn,156.3,51.3,801.2,Medium,51.12054134223217,0.17945865776782455
Tien Giang,2014,winter_spring,77.4,72.0,557.5,High,67.1122803114572,4.887719688542802
Tien Giang,2014,summer_autumn,153.2,53.1,812.8,High,51.785457916203086,1.3145420837969155
Tien Giang,2015,winter_spring,75.1,72.0,541.0,High,67.78834260289204,4.211657397107956
Tien Giang,2015,summer_autumn,149.6,53.7,803.4,High,52.45037449017423,1.2496255098257762
Tien Giang,2016,winter_spring,74.2,67.8,503.1,Medium,68.46440489432689,-0.6644048943268928
Tien Giang,2016,summer_autumn,141.2,54.2,765.1,High,53.11529106414537,1.0847089358546356
Tien Giang,2017,winter_spring,71.6,65.7,470.5,Low,69.14046718576196,-3.4404671857619604
Tien Giang,2017,summer_autumn,139.2,55.9,778.8,High,53.78020763811628,2.119792361883718
Tien Giang,2018,winter_spring,68.8,74.6,513.2,High,69.81652947719681,4.783470522803185
Tien Giang,2018,summer_autumn,132.5,55.9,741.2,High,54.44512421208742,1.4548757879125773
Tien Giang,2019,winter_spring,64.9,71.9,466.6,High,70.49259176863188,1.407408231368123
Tien Giang,2019,summer_autumn,119.4,55.0,656.5,Medium,55.11004078605856,-0.11004078605856193
Tien Giang,2020,winter_spring,57.6,64.9,374.0,Low,71.16865406006673,-6.268654060066723
Tien Giang,2020,summer_autumn,78.4,54.5,427.2,Low,55.7749573600297,-1.2749573600297026
Tien Giang,2021,winter_spring,51.7,71.1,367.2,Medium,71.84471635150157,-0.7447163515015802
Tien Giang,2021,summer_autumn,80.2,58.5,469.0,High,56.439873934000616,2.060126065999384
Tien Giang,2022,winter_spring,49.2,71.2,350.1,Low,72.52077864293665,-1.320778642936645
Tien Giang,2022,summer_autumn,85.7,57.0,488.4,Medium,57.10479050797176,-0.1047905079717566
Tien Giang,2023,winter_spring,48.2,69.8,336.3,Low,73.1968409343715,-3.3968409343714967
Tien Giang,2023,summer_autumn,81.2,56.0,454.7,Low,57.7697070819429,-1.7697070819428973
Tien Giang,2024,winter_spring,44.9,70.2,315.0,Low,73.87290322580634,-3.672903225806337
Tien Giang,2024,summer_autumn,75.5,57.2,431.9,Low,58.43462365591404,-1.2346236559140351
Ben Tre,1995,winter_spring,22.1,41.2,91.1,Low,48.24329886982804,-7.043298869828035
Ben Tre,1995,summer_autumn,21.0,36.7,77.0,High,35.353763440860234,1.3462365591397685
Ben Tre,1995,main_season,49.6,30.5,151.2,Medium,31.62860215053763,-1.1286021505376311
Ben Tre,1996,winter_spring,21.8,43.6,95.1,Low,48.09920291110723,-4.499202911107226
Ben Tre,1996,summer_autumn,25.9,36.9,95.5,Medium,35.73120504264,1.1687949573599994
Ben Tre,1996,main_season,50.0,32.4,162.1,Medium,31.93122728958099,0.46877271041901025
Ben Tre,1997,winter_spring,23.6,43.9,103.5,Low,47.955106952386416,-4.055106952386417
Ben Tre,1997,summer_autumn,23.3,35.1,81.8,Medium,36.108646644419764,-1.0086466444197626
Ben Tre,1997,main_season,51.9,25.8,133.9,Low,32.233852428624346,-6.433852428624345
Ben Tre,1998,winter_spring,23.6,43.0,101.5,Low,47.811010993665604,-4.8110109936656045
Ben Tre,1998,summer_autumn,26.5,37.1,98.2,Medium,36.48608824619953,0.6139117538004726
Ben Tre,1998,main_season,50.7,27.4,138.7,Low,32.5364775676677,-5.136477567667704
Ben Tre,1999,winter_spring,23.7,38.4,90.9,Low,47.66691503494479,-9.266915034944795
Ben Tre,1999,summer_autumn,28.4,35.4,100.6,Low,36.863529847979294,-1.463529847979295
Ben Tre,1999,main_season,49.0,27.7,135.5,Low,32.839102706711174,-5.139102706711174
Ben Tre,2000,winter_spring,23.2,48.5,112.5,Medium,47.52281907622398,0.9771809237760181
Ben Tre,2000,summer_autumn,29.5,39.0,115.1,High,37.24097144975906,1.7590285502409415
Ben Tre,2000,main_season,48.9,26.5,129.7,Low,33.14172784575453,-6.641727845754531
Ben Tre,2001,winter_spring,23.8,46.3,110.3,Low,47.37872311750317,-1.0787231175031735
Ben Tre,2001,summer_autumn,30.0,37.9,113.6,Medium,37.61841305153882,0.28158694846117527
Ben Tre,2001,main_season,47.0,33.1,155.8,Medium,33.44435298479789,-0.34435298479788656
Ben Tre,2002,winter_spring,24.9,46.7,116.4,Medium,47.234627158782416,-0.5346271587824134
Ben Tre,2002,summer_autumn,28.8,38.2,110.1,Medium,37.99585465331859,0.2041453466814147
Ben Tre,2002,main_season,45.9,36.1,165.6,Medium,33.746978123841245,2.3530218761587562
Ben Tre,2003,winter_spring,23.6,48.5,114.5,Medium,47.090531200061605,1.409468799938395
Ben Tre,2003,summer_autumn,27.3,37.1,101.4,Low,38.37329625509835,-1.2732962550983515
Ben Tre,2003,main_season,44.6,37.0,165.1,Medium,34.0496032628846,2.9503967371153976
Ben Tre,2004,winter_spring,22.5,50.8,114.2,Medium,46.946435241340794,3.8535647586592034
Ben Tre,2004,summer_autumn,26.5,39.0,103.4,Medium,38.75073785687812,0.24926214312188222
Ben Tre,2004,main_season,41.5,36.3,150.5,Medium,34.35222840192807,1.947771598071924
Ben Tre,2005,winter_spring,21.8,44.2,96.4,Low,46.80233928261998,-2.6023392826199796
Ben Tre,2005,summer_autumn,24.0,37.6,90.3,Low,39.12817945865788,-1.5281794586578812
Ben Tre,2005,main_season,37.7,41.0,154.7,High,34.65485354097143,6.3451464590285696
Ben Tre,2006,winter_spring,20.7,50.3,104.2,Medium,46.65824332389917,3.641756676100826
Ben Tre,2006,summer_autumn,25.4,34.0,86.4,Low,39.50562106043765,-5.505621060437647
Ben Tre,2006,main_season,35.7,39.7,141.9,High,34.95747868001479,4.742521319985215
Ben Tre,2007,winter_spring,20.7,54.4,112.6,High,46.51414736517836,7.885852634821639
Ben Tre,2007,summer_autumn,24.2,40.1,97.1,Medium,39.8830626622173,0.21693733778270285
Ben Tre,2007,main_season,34.8,27.3,95.1,Low,35.260103819058145,-7.960103819058144
Ben Tre,2008,winter_spring,20.6,57.4,118.3,High,46.37005140645755,11.02994859354245
Ben Tre,2008,summer_autumn,24.5,42.2,103.4,High,40.26050426399706,1.9394957360029395
Ben Tre,2008,main_season,34.1,40.9,139.4,High,35.5627289581015,5.3372710418984965
Ben Tre,2009,winter_spring,21.1,58.9,124.2,High,46.22595544773674,12.674044552263261
Ben Tre,2009,summer_autumn,24.2,39.8,96.3,Medium,40.63794586577683,-0.8379458657768311
Ben Tre,2009,main_season,35.8,39.7,142.2,High,35.86535409714497,3.83464590285503
Ben Tre,2010,winter_spring,21.1,57.4,121.2,High,46.081859489015926,11.318140510984072
Ben Tre,2010,summer_autumn,23.2,39.2,91.0,Low,41.01538746755659,-1.8153874675565902
Ben Tre,2010,main_season,35.9,43.1,154.6,High,36.16797923618833,6.932020763811671
Ben Tre,2011,winter_spring,20.2,52.3,105.6,High,45.937763530295115,6.362236469704882
Ben Tre,2011,summer_autumn,23.1,46.6,107.7,High,41.39282906933636,5.207170930663644
Ben Tre,2011,main_season,33.6,44.3,148.9,High,36.47060437523169,7.82939562476831
Ben Tre,2012,winter_spring,20.0,57.8,115.6,High,45.793667571574304,12.006332428425694
Ben Tre,2012,summer_autumn,22.2,47.4,105.2,High,41.77027067111612,5.629729328883876
Ben Tre,2012,main_season,33.6,45.9,154.2,High,36.773229514275044,9.126770485724954
Ben Tre,2013,winter_spring,19.0,50.7,96.3,Medium,45.64957161285349,5.0504283871465105
Ben Tre,2013,summer_autumn,20.1,43.7,87.9,High,42.14771227289589,1.5522877271041153
Ben Tre,2013,main_season,33.1,44.5,147.4,High,37.075854653318515,7.424145346681485
Ben Tre,2014,winter_spring,18.1,58.0,105.0,High,45.50547565413268,12.494524345867319
Ben Tre,2014,summer_autumn,19.3,42.7,82.5,Medium,42.52515387467565,0.1748461253243505
Ben Tre,2014,main_season,29.2,45.0,131.4,High,37.37847979236187,7.621520207638127
Ben Tre,2015,winter_spring,17.2,50.9,87.6,Medium,45.36137969541193,5.538620304588072
Ben Tre,2015,summer_autumn,17.9,40.1,71.8,Low,42.90259547645542,-2.8025954764554157
Ben Tre,2015,main_season,27.9,42.8,119.4,High,37.68110493140523,5.118895068594767
Ben Tre,2016,winter_spring,15.1,0.5,0.8,Low,45.217283736691115,-44.717283736691115
Ben Tre,2016,summer_autumn,16.6,40.1,66.5,Low,43.28003707823518,-3.1800370782351806
Ben Tre,2016,main_season,9.8,20.7,20.3,Low,37.98373007044859,-17.283730070448588
Ben Tre,2017,winter_spring,15.7,44.2,69.4,Medium,45.073187777970304,-0.8731877779703012
Ben Tre,2017,summer_autumn,30.8,41.6,128.0,Low,43.65747868001495,-2.0574786800149454
Ben Tre,2017,main_season,8.4,35.5,29.8,Medium,38.286355209491944,-2.786355209491944
Ben Tre,2018,winter_spring,13.8,56.1,77.4,High,44.92909181924949,11.170908180750509
Ben Tre,2018,summer_autumn,30.0,44.8,134.5,Medium,44.03492028179471,0.7650797182052855
Ben Tre,2018,main_season,8.0,31.0,24.8,Low,38.588980348535415,-7.588980348535415
Ben Tre,2019,winter_spring,12.8,48.2,61.7,Medium,44.78499586052868,3.4150041394713213
Ben Tre,2019,summer_autumn,28.0,45.7,128.0,High,44.41236188357436,1.28763811642564
Ben Tre,2019,main_season,6.8,35.9,24.4,Low,38.89160548757877,-2.9916054875787736
Ben Tre,2020,winter_spring,5.3,0.4,0.2,Low,44.64089990180787,-44.24089990180787
Ben Tre,2020,summer_autumn,10.7,34.7,37.1,Low,44.78980348535413,-10.089803485354125
Ben Tre,2020,main_season,6.0,36.3,21.8,Low,39.19423062662213,-2.8942306266221323
Ben Tre,2021,winter_spring,11.0,50.7,55.9,High,44.49680394308706,6.203196056912944
Ben Tre,2021,summer_autumn,20.5,46.6,95.7,High,45.16724508713389,1.432754912866109
Ben Tre,2021,main_season,5.0,30.0,15.0,Low,39.49685576566549,-9.496855765665487
Ben Tre,2022,summer_autumn,17.8,48.5,86.3,High,45.54468668891366,2.9553133110863428
Ben Tre,2022,main_season,5.0,40.8,20.4,Medium,39.799480904708844,1.0005190952911533
Ben Tre,2023,winter_spring,1.1,52.9,5.7,High,44.20861202564544,8.691387974354562
Ben Tre,2023,summer_autumn,16.0,52.1,83.1,High,45.92212829069342,6.177871709306579
Ben Tre,2023,main_season,5.2,40.6,20.9,Medium,40.102106043752315,0.49789395624768673
Ben Tre,2024,summer_autumn,8.8,44.9,39.7,Low,46.29956989247319,-1.3995698924731883
Ben Tre,2024,main_season,4.9,42.7,20.9,Medium,40.40473118279567,2.295268817204331
Tra Vinh,1995,winter_spring,35.0,48.5,169.6,Medium,45.50086021505376,2.9991397849462373
Tra Vinh,1995,summer_autumn,50.0,44.1,220.5,High,37.29225806451632,6.8077419354836834
Tra Vinh,1995,main_season,84.3,30.5,257.3,Low,34.950344827586264,-4.450344827586264
Tra Vinh,1996,winter_spring,39.1,46.2,180.6,Low,46.108157211716616,0.09184278828338677
Tra Vinh,1996,summer_autumn,66.3,34.9,231.2,Low,37.88727474972211,-2.9872747497221113
Tra Vinh,1996,main_season,53.8,49.6,266.9,High,35.44773399014775,14.152266009852248
Tra Vinh,1997,winter_spring,46.0,47.3,217.7,Medium,46.71545420837947,0.5845457916205277
Tra Vinh,1997,summer_autumn,73.4,34.0,249.8,Low,38.4822914349279,-4.482291434927902
Tra Vinh,1997,main_season,81.5,30.2,246.5,Low,35.94512315270936,-5.745123152709358
Tra Vinh,1998,winter_spring,48.5,48.7,236.1,Medium,47.32275120504255,1.3772487949574526
Tra Vinh,1998,summer_autumn,80.0,32.7,261.4,Low,39.077308120133694,-6.377308120133691
Tra Vinh,1998,main_season,81.5,30.2,246.5,Low,36.44251231527096,-6.242512315270961
Tra Vinh,1999,winter_spring,53.2,41.2,219.0,Low,47.930048201705404,-6.730048201705401
Tra Vinh,1999,summer_autumn,84.6,40.0,338.2,Medium,39.672324805339485,0.32767519466051453
Tra Vinh,1999,main_season,94.8,29.7,282.0,Low,36.939901477832564,-7.239901477832564
Tra Vinh,2000,winter_spring,53.0,49.4,261.9,Medium,48.537345198368484,0.8626548016315141
Tra Vinh,2000,summer_autumn,87.0,41.8,363.3,High,40.26734149054528,1.5326585094547198
Tra Vinh,2000,main_season,97.0,32.9,319.5,Low,37.43729064039405,-4.537290640394055
Tra Vinh,2001,winter_spring,54.3,39.9,216.4,Low,49.14464219503134,-9.24464219503134
Tra Vinh,2001,summer_autumn,87.6,37.3,326.7,Low,40.86235817575107,-3.562358175751072
Tra Vinh,2001,main_season,98.5,36.5,359.2,Medium,37.93467980295566,-1.4346798029556567
Tra Vinh,2002,winter_spring,55.0,51.6,283.7,Medium,49.75193919169442,1.8480608083055827
Tra Vinh,2002,summer_autumn,84.9,40.7,345.3,Medium,41.45737486095686,-0.7573748609568582
Tra Vinh,2002,main_season,95.9,39.3,376.9,Medium,38.43206896551726,0.8679310344827371
Tra Vinh,2003,winter_spring,53.6,53.1,284.6,Medium,50.35923618835727,2.7407638116427293
Tra Vinh,2003,summer_autumn,86.6,41.9,362.9,Medium,42.05239154616265,-0.15239154616265438
Tra Vinh,2003,main_season,96.0,41.5,398.1,High,38.92945812807886,2.5705418719211366
Tra Vinh,2004,winter_spring,53.9,53.2,287.0,Medium,50.96653318502035,2.23346681497965
Tra Vinh,2004,summer_autumn,86.7,41.7,361.2,Medium,42.647408231368445,-0.947408231368442
Tra Vinh,2004,main_season,95.0,40.6,385.7,Medium,39.42684729064035,1.1731527093596483
Tra Vinh,2005,winter_spring,53.6,56.1,300.5,High,51.573830181683206,4.526169818316795
Tra Vinh,2005,summer_autumn,84.9,40.1,340.5,Low,43.24242491657424,-3.1424249165742353
Tra Vinh,2005,main_season,93.9,41.3,387.8,Medium,39.92423645320196,1.3757635467980407
Tra Vinh,2006,winter_spring,52.8,51.1,269.9,Low,52.18112717834629,-1.0811271783462857
Tra Vinh,2006,summer_autumn,82.8,41.3,341.8,Low,43.8374416017798,-2.537441601779804
Tra Vinh,2006,main_season,92.6,43.0,398.1,High,40.42162561576356,2.57837438423644
Tra Vinh,2007,winter_spring,49.7,46.3,229.9,Low,52.78842417500914,-6.488424175009143
Tra Vinh,2007,summer_autumn,81.1,47.4,384.6,High,44.43245828698559,2.9675417130144055
Tra Vinh,2007,main_season,93.2,33.8,315.3,Low,40.91901477832516,-7.119014778325166
Tra Vinh,2008,winter_spring,53.7,54.8,294.5,Medium,53.39572117167222,1.4042788283277758
Tra Vinh,2008,summer_autumn,82.9,47.8,396.4,High,45.027474972191385,2.772525027808612
Tra Vinh,2008,main_season,90.3,43.8,395.8,High,41.41640394088665,2.3835960591133443
Tra Vinh,2009,winter_spring,56.1,53.0,297.5,Low,54.003018168335075,-1.0030181683350747
Tra Vinh,2009,summer_autumn,82.4,48.1,396.2,High,45.62249165739718,2.4775083426028246
Tra Vinh,2009,main_season,93.4,41.0,383.1,Medium,41.913793103448256,-0.9137931034482563
Tra Vinh,2010,winter_spring,59.5,58.3,346.8,High,54.61031516499793,3.689684835002069
Tra Vinh,2010,summer_autumn,81.4,46.6,379.0,Medium,46.21750834260297,0.3824916573970327
Tra Vinh,2010,main_season,91.8,46.9,430.2,High,42.41118226600986,4.488817733990139
