id_vụ,year,yield_class,stage_1_avg_temp,stage_1_total_precip,stage_1_count_heat_days,stage_1_avg_et0,stage_2_avg_temp,stage_2_total_precip,stage_2_count_heat_days,stage_2_avg_et0,stage_3_avg_temp,stage_3_total_precip,stage_3_count_heat_days,stage_3_avg_et0,stage_4_avg_temp,stage_4_total_precip,stage_4_count_heat_days,stage_4_avg_et0,stage_5_avg_temp,stage_5_total_precip,stage_5_count_heat_days,stage_5_avg_et0
Long An_2004_summer_autumn,2004,High,29.97549175080799,41.90000034868717,17,5.478339899153936,28.38874931335449,161.39999614655972,4,4.2025825309753415,26.26755561828613,213.2999997138977,0,3.07349001566569,27.142416572570802,131.59999752044678,0,3.983980393409729,26.446166763305666,178.4000060558319,0,3.731627526283264
Long An_2004_main_season,2004,High,27.49493608020601,199.29999604821205,0,3.8497356460207985,26.681833343505858,228.79999780654907,0,3.5480541801452636,26.994500096638998,89.40000081062317,0,4.102148342132568,25.967624950408936,188.0000023841858,0,3.285203069448471,26.525582580566407,241.70000565052032,0,3.483262324333191
Long An_2005_winter_spring,2005,High,27.197118305024645,15.400000542402267,0,4.2507862250010175,26.41166618347168,0.0,0,4.264546461105347,26.136582310994466,0.1000000014901161,0,4.310438315073649,26.12449941635132,0.1000000014901161,0,4.388187026977539,27.70216484069824,0.5000000074505805,3,5.317812805175781
Long An_2005_summer_autumn,2005,Medium,29.71695954459054,31.200000859797004,15,5.50332084156218,27.8502498626709,145.19999635219574,3,4.104829821586609,27.538804626464845,101.20000059902668,0,3.871980810165405,26.91856231689453,164.60000205039978,0,3.747018241882324,26.480665817260743,203.60000157356262,0,3.4909973096847535
Long An_2005_main_season,2005,High,27.556345167614165,127.39999747276306,0,4.0405750047592885,27.4161661529541,158.30000407993793,0,3.978756980895996,26.278109868367512,127.60000026226044,0,3.4470446427663166,26.356895542144777,175.0000011920929,0,3.2646140336990355,27.02408317565918,172.30000126361847,0,3.9580720901489257
Long An_2006_winter_spring,2006,Medium,25.800094786144438,142.49999828636646,0,3.3808604989733015,24.406249618530275,101.29999969899654,0,2.904873185157776,25.178805287679037,21.90000031143427,0,3.513838227589925,26.21095714569092,6.600000388920306,0,4.096499681472778,27.522832489013673,10.800000078976154,0,4.736596174240113
Long An_2006_summer_autumn,2006,Low,28.639479591732933,68.59999969601631,1,4.808895247323172,27.36041664123535,168.6000034213066,0,4.038490839004517,27.014359792073567,99.30000174045563,0,4.071311775843302,26.062728118896484,223.80000287294388,0,2.6779620885849,26.706498794555664,169.40000355243683,0,3.6521435356140137
Long An_2006_main_season,2006,Low,26.99076970418294,166.0000035762787,0,3.8731979529062905,26.57108200073242,220.60000079870224,0,3.4662371253967286,26.14588826497396,142.70000231266022,0,2.814850171407064,26.493248748779298,143.10000848770142,0,3.5446766018867493,26.483416442871093,205.7000014781952,0,3.485335283279419
Long An_2007_winter_spring,2007,Medium,27.74731663295201,27.200001187622544,1,4.192854955082848,27.09324966430664,6.700000017881393,0,4.322133674621582,26.13769276936849,57.59999935328961,0,3.18751900990804,25.750749111175537,3.40000007301569,0,4.455552124977112,26.88241600036621,2.000000022351742,0,4.958398551940918
Long An_2007_summer_autumn,2007,High,28.705352783203125,84.49999922513962,3,4.658487967082432,26.93466583251953,270.70000272989273,0,3.4551037645339964,27.62199961344401,72.79999923706055,0,4.313303518295288,26.5036660194397,231.99999866634607,0,2.9924266636371613,26.499749221801757,201.90000081062317,0,3.3760298538208007
