province,year,season,rice_yield,yield_class,expected_yield,residual
Tien Giang,2003,summer_autumn,43.4,Medium,44.47137560252122,-1.071375602521222
Tien Giang,2004,winter_spring,60.0,Medium,60.35165739710783,-0.35165739710782873
Tien Giang,2004,summer_autumn,45.9,Medium,45.13629217649236,0.7637078235076373
Tien Giang,2005,winter_spring,61.6,Medium,61.0277196885429,0.5722803114570993
Tien Giang,2005,summer_autumn,46.7,Medium,45.8012087504635,0.8987912495365009
Tien Giang,2006,winter_spring,59.8,Low,61.70378197997775,-1.903781979977751
Tien Giang,2006,summer_autumn,43.5,Low,46.466125324434415,-2.9661253244344152
Tien Giang,2007,winter_spring,63.7,Medium,62.379844271412594,1.3201557285874088
Tien Giang,2007,summer_autumn,47.5,Medium,47.131041898405556,0.3689581015944441
Tien Giang,2008,winter_spring,66.7,High,63.05590656284767,3.6440934371523355
Tien Giang,2008,summer_autumn,47.4,Medium,47.7959584723767,-0.395958472376698
Tien Giang,2009,winter_spring,64.7,Medium,63.73196885428251,0.9680311457174895
Tien Giang,2009,summer_autumn,47.2,Low,48.46087504634784,-1.2608750463478344
Tien Giang,2010,winter_spring,65.6,Medium,64.40803114571736,1.191968854282635
Tien Giang,2010,summer_autumn,48.3,Medium,49.12579162031875,-0.8257916203187534
Tien Giang,2011,winter_spring,66.7,High,65.08409343715243,1.6159065628475702
Tien Giang,2011,summer_autumn,49.3,Medium,49.79070819428989,-0.4907081942898941
Tien Giang,2012,winter_spring,69.8,High,65.76015572858728,4.0398442714127185
Tien Giang,2012,summer_autumn,50.2,Medium,50.45562476826103,-0.2556247682610291
Tien Giang,2013,winter_spring,69.0,High,66.43621802002212,2.5637819799778754
Tien Giang,2013,summer_autumn,51.3,Medium,51.12054134223217,0.17945865776782455
Tien Giang,2014,winter_spring,72.0,High,67.1122803114572,4.887719688542802
Tien Giang,2014,summer_autumn,53.1,Medium,51.785457916203086,1.3145420837969155
Tien Giang,2015,winter_spring,72.0,High,67.78834260289204,4.211657397107956
Tien Giang,2015,summer_autumn,53.7,Medium,52.45037449017423,1.2496255098257762
Tien Giang,2016,winter_spring,67.8,Medium,68.46440489432689,-0.6644048943268928
Tien Giang,2016,summer_autumn,54.2,Medium,53.11529106414537,1.0847089358546356
Tien Giang,2017,winter_spring,65.7,Low,69.14046718576196,-3.4404671857619604
Tien Giang,2017,summer_autumn,55.9,High,53.78020763811628,2.119792361883718
Tien Giang,2018,winter_spring,74.6,High,69.81652947719681,4.783470522803185
Tien Giang,2018,summer_autumn,55.9,Medium,54.44512421208742,1.4548757879125773
Tien Giang,2019,winter_spring,71.9,Medium,70.49259176863188,1.407408231368123
Tien Giang,2019,summer_autumn,55.0,Medium,55.11004078605856,-0.11004078605856193
Tien Giang,2020,winter_spring,64.9,Low,71.16865406006673,-6.268654060066723
Tien Giang,2020,summer_autumn,54.5,Low,55.7749573600297,-1.2749573600297026
Tien Giang,2021,winter_spring,71.1,Medium,71.84471635150157,-0.7447163515015802
Tien Giang,2021,summer_autumn,58.5,High,56.439873934000616,2.060126065999384
Tien Giang,2022,winter_spring,71.2,Low,72.52077864293665,-1.320778642936645
Tien Giang,2022,summer_autumn,57.0,Medium,57.10479050797176,-0.1047905079717566
Tien Giang,2023,winter_spring,69.8,Low,73.1968409343715,-3.3968409343714967
Tien Giang,2023,summer_autumn,56.0,Low,57.7697070819429,-1.7697070819428973
Tien Giang,2024,winter_spring,70.2,Low,73.87290322580634,-3.672903225806337
Tien Giang,2024,summer_autumn,57.2,Low,58.43462365591404,-1.2346236559140351
Ben Tre,1995,winter_spring,41.2,Low,48.24329886982804,-7.043298869828035
Ben Tre,1995,summer_autumn,36.7,Medium,35.353763440860234,1.3462365591397685
Ben Tre,1995,main_season,30.5,Medium,31.62860215053763,-1.1286021505376311
Ben Tre,1996,winter_spring,43.6,Low,48.09920291110723,-4.499202911107226
Ben Tre,1996,summer_autumn,36.9,Medium,35.73120504264,1.1687949573599994
Ben Tre,1996,main_season,32.4,Medium,31.93122728958099,0.46877271041901025
Ben Tre,1997,winter_spring,43.9,Low,47.955106952386416,-4.055106952386417
Ben Tre,1997,summer_autumn,35.1,Medium,36.108646644419764,-1.0086466444197626
Ben Tre,1997,main_season,25.8,Low,32.233852428624346,-6.433852428624345
Ben Tre,1998,winter_spring,43.0,Low,47.811010993665604,-4.8110109936656045
Ben Tre,1998,summer_autumn,37.1,Medium,36.48608824619953,0.6139117538004726
Ben Tre,1998,main_season,27.4,Low,32.5364775676677,-5.136477567667704
Ben Tre,1999,winter_spring,38.4,Low,47.66691503494479,-9.266915034944795
Ben Tre,1999,summer_autumn,35.4,Low,36.863529847979294,-1.463529847979295
Ben Tre,1999,main_season,27.7,Low,32.839102706711174,-5.139102706711174
