province,year,cultivated_area_winter_spring,rice_yield_winter_spring,rice_production_winter_spring,cultivated_area_summer_autumn,rice_yield_summer_autumn,rice_production_summer_autumn,cultivated_area_main_season,rice_yield_main_season,rice_production_main_season
An Giang,1997,209.8,62.3,1307.6,190,34.2,649.8,15.2,15.2,23.1
An Giang,1998,212.5,61.6,1308.7,200,35.5,710.5,16.7,15.2,25.4
An Giang,1999,216.6,58.1,1258.8,231.5,35.2,814.5,14.8,18,26.7
An Giang,2000,220.4,61,1344.9,232.8,34.7,807,11.2,23,25.8
An Giang,2001,221.7,55.6,1231.8,225.9,37.6,849.4,11.5,28,32.2
An Giang,2002,218.8,65.4,1430.9,246.6,46.2,1139.2,11.8,20,23.6
An Giang,2003,220.5,64.1,1413.9,275.2,45.5,1250.6,8.3,26.3,21.8
An Giang,2004,220.3,65.2,1436.4,294,52.6,1546.8,8.7,27.2,23.7
An Giang,2005,223.3,69.3,1547.6,298.1,52.6,1568.7,8.3,30.5,25.3
An Giang,2006,231.1,68.1,1572.7,265.1,50.1,1327,7.3,32.2,23.5
An Giang,2007,230.6,71.1,1639.6,282.5,52.6,1486.3,7.2,23.6,17
An Giang,2008,231.7,73.1,1694.8,324.7,55.1,1788,8.1,38.3,31
An Giang,2009,234.1,71.6,1677.2,315.6,54.4,1715.8,7.6,37.5,28.5
An Giang,2010,234.2,73,1708.9,347,55.4,1920.9,5.4,43.1,23.3
An Giang,2011,235.5,75.1,1768.8,366.7,56.3,2064.7,5.4,43.1,23.3
An Giang,2012,235.9,74,1746.1,383.3,56.5,2165.8,5.9,50.3,29.7
An Giang,2013,238.1,73.5,1749.4,397.9,56.4,2244.6,5.4,50.7,27.4
An Giang,2014,237.5,77.4,1837.2,383.2,56.4,2161.4,5.1,47.6,24.3
An Giang,2015,238.6,75.6,1804.4,400.3,56.2,2250.1,5.3,36.2,19.2
An Giang,2016,239.3,71.9,1719.9,424.7,52.6,2234.6,5,40.2,20.1
An Giang,2017,236.2,70.3,1660.4,399.9,55.1,2202,5,34.4,17.2
An Giang,2018,235,73.5,1727.4,388,56.7,2199.1,0.1,30,0.3
An Giang,2019,233.7,71,1659.3,387.8,57.8,2241,4.8,39.6,19
